t,headX,headY,headZ,headRotX,headRotY,headRotZ,leftHandX,leftHandY,leftHandZ,leftHandRotX,leftHandRotY,leftHandRotZ,rightHandX,rightHandY,rightHandZ,rightHandRotX,rightHandRotY,rightHandRotZ

1.818432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

1.8361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

1.84769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

1.867362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

1.893081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

1.917274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

1.942306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

1.967409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

1.992815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

2.017506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

2.042303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

2.067445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

2.092146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

2.117378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

2.143471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

2.167152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

2.192186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

2.217552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

2.242682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

2.267403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

2.292256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

2.317554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

